id,nome,categoria,observacoes,sdf_original,sdf_novo_path
1,AKC_1573406414666180226163222,SYNTHETIC,,1.sdf,sdfs/1.sdf
2,AKC_1573406414666180226163222,SYNTHETIC,,2.sdf,sdfs/2.sdf
3,AKC_1573406414666180226163222,SYNTHETIC,,3.sdf,sdfs/3.sdf
5,AKC_1573406417666210216154428,SYNTHETIC,,5.sdf,sdfs/5.sdf
6,AKC_1573406417666210216154428,SYNTHETIC,,6.sdf,sdfs/6.sdf
7,AKC_1573406417666210216154428,SYNTHETIC,,7.sdf,sdfs/7.sdf
8,AKC_1573406417666210216154428,SYNTHETIC,,8.sdf,sdfs/8.sdf
9,AKC_1573406417666210216154428,SYNTHETIC,,9.sdf,sdfs/9.sdf
10,AKC_ph15020148,SYNTHETIC,,10.sdf,sdfs/10.sdf
11,AKC_AAC.37.5.991,SYNTHETIC,,11.sdf,sdfs/11.sdf
12,AKC_AAC.37.5.991,SYNTHETIC,,12.sdf,sdfs/12.sdf
13,AKC_AAC.37.5.991,SYNTHETIC,,13.sdf,sdfs/13.sdf
14,AKC_j.bmcl.2021.128289,SYNTHETIC,Em estudo Jessika,14.sdf,sdfs/14.sdf
15,AKC_j.ejmech.2007.02.010,SYNTHETIC,,15.sdf,sdfs/15.sdf
16,AKC_j.ejmech.2007.02.010,SYNTHETIC,,16.sdf,sdfs/16.sdf
17,AKC_AAC.02529-15,SYNTHETIC,Artigo escondeu as estruturas,17.sdf,sdfs/17.sdf
18,AKC_AAC.02529-15,SYNTHETIC,Artigo escondeu as estruturas,18.sdf,sdfs/18.sdf
19,AKC_AAC.02529-15,SYNTHETIC,Artigo escondeu as estruturas,19.sdf,sdfs/19.sdf
20,AKC_AAC.02529-15,SYNTHETIC,Artigo escondeu as estruturas,20.sdf,sdfs/20.sdf
21,AKC_j.ejmech.2015.09.002,SYNTHETIC,Achei muito legal para virtual screening,21.sdf,sdfs/21.sdf
22,AKC_j.ejmech.2020.112956,SYNTHETIC,Achei muito legal para virtual screening,22.sdf,sdfs/22.sdf
23,AKC_j.ejmech.2018.06.001,SYNTHETIC,Sem Alvo,23.sdf,sdfs/23.sdf
24,AKC_j.ejmech.2012.04.029,SYNTHETIC,,24.sdf,sdfs/24.sdf
25,AKC_j.ejmech.2012.03.003,SYNTHETIC,,25.sdf,sdfs/25.sdf
26,AKC_j.ejmech.2012.03.003,SYNTHETIC,,26.sdf,sdfs/26.sdf
27,AKC_j.ejmech.2012.03.003,SYNTHETIC,,27.sdf,sdfs/27.sdf
28,AKC_j.vetpar.2016.01.002,SYNTHETIC,,28.sdf,sdfs/28.sdf
29,AKC_j.ejmech.2013.08.028,SYNTHETIC,Sem alvo,29.sdf,sdfs/29.sdf
30,AKC_AAC.01299-10,SYNTHETIC,Sem alvo total,30.sdf,sdfs/30.sdf
31,AKC_c6ob01149g,SYNTHETIC,Sem alvo,31.sdf,sdfs/31.sdf
32,AKC_j.ejmech.2009.09.012,SYNTHETIC,Tóxicos para o macrófago.,32.sdf,sdfs/32.sdf
33,AKC_j.ejmech.2018.05.014,SYNTHETIC,Sem alvo,33.sdf,sdfs/33.sdf
34,AKC_/j.ejmech.2017.03.016,SYNTHETIC,,34.sdf,sdfs/34.sdf
35,AKC_10.1016C,SYNTHETIC,Muito bom para screening,35.sdf,sdfs/35.sdf
36,AKC_c5ob00280j,SYNTHETIC,Insolúvel demais,36.sdf,sdfs/36.sdf
37,AKC_fmc-2017-0120,SYNTHETIC,Artigo bloqueado,37.sdf,sdfs/37.sdf
38,AKC_molecules21060802,SYNTHETIC,,38.sdf,sdfs/38.sdf
39,AKC_molecules21060802,SYNTHETIC,,39.sdf,sdfs/39.sdf
40,AKC_j.ejmech.2017.09.045,SYNTHETIC,,40.sdf,sdfs/40.sdf
41,AKC_j.actatropica.2010.10.011,SYNTHETIC,Sem alvo,41.sdf,sdfs/41.sdf
42,AKC_s11030-019-09953-4,SYNTHETIC,Sem alvo,42.sdf,sdfs/42.sdf
43,AKC_j.bmcl.2011.01.026,SYNTHETIC,Muito bom para screening,43.sdf,sdfs/43.sdf
44,AKC_14756360600700517,SYNTHETIC,,44.sdf,sdfs/44.sdf
45,AKC_tswj/2010/174124,SYNTHETIC,Interessante,45.sdf,sdfs/45.sdf
46,AKC_tswj/2010/174124,SYNTHETIC,Interessante,46.sdf,sdfs/46.sdf
47,AKC_1475636021000005749,SYNTHETIC,Sem alvo,47.sdf,sdfs/47.sdf
48,AKC_j.bmc.2013.09.002,SYNTHETIC,Muito bom para screening,48.sdf,sdfs/48.sdf
49,AKC_j.ejmech.2015.02.038,SYNTHETIC,,49.sdf,sdfs/49.sdf
50,AKC_j.ejmech.2015.02.038,SYNTHETIC,Muito bom para screening,50.sdf,sdfs/50.sdf
51,AKC_AJPP2016.4401,SYNTHETIC,Muito bom para screening,51.sdf,sdfs/51.sdf
52,AKC_acs.jmedchem.5b01456,SYNTHETIC,Muito bom para screening,52.sdf,sdfs/52.sdf
53,AKC_molecules18044718,SYNTHETIC,Muito bom para screening,53.sdf,sdfs/53.sdf
54,AKC_j.bmc.2018.06.033,SYNTHETIC,,54.sdf,sdfs/54.sdf
55,AKC_AAC.02582-15,SYNTHETIC,,55.sdf,sdfs/55.sdf
56,AKC_j.ejmech.2014.12.051,SYNTHETIC,,56.sdf,sdfs/56.sdf
57,AKC_S0925-4439(02)00088-1,SYNTHETIC,Antigo - PTR1,57.sdf,sdfs/57.sdf
58,AKC_j.bmcl.2009.07.081,SYNTHETIC,,58.sdf,sdfs/58.sdf
59,AKC_2047773211Y.0000000005,SYNTHETIC,,59.sdf,sdfs/59.sdf
60,AKC_j.ejmech.2018.03.014,SYNTHETIC,Muito bom para screening,60.sdf,sdfs/60.sdf
61,AKC_C4MD00298A,SYNTHETIC,Muito bom para screening,61.sdf,sdfs/61.sdf
62,AKC_C4MD00298A,SYNTHETIC,Muito bom para screening,61_alt_1.sdf,sdfs/62.sdf
63,AKC_s00436-021-07266-w,SYNTHETIC,,62.sdf,sdfs/63.sdf
64,AKC_10406638.2022.2092877,SYNTHETIC,,63.sdf,sdfs/64.sdf
65,AKC_acs.jmedchem.1c00813,SYNTHETIC,,64.sdf,sdfs/65.sdf
66,AKC_ijms21186839,SYNTHETIC,Muito bom para screening,65.sdf,sdfs/66.sdf
67,AKC_ardp.201900241,SYNTHETIC,,66.sdf,sdfs/67.sdf
68,AKC_jhet.3812,SYNTHETIC,,67.sdf,sdfs/68.sdf
69,AKC_j.bmc.2019.115187,SYNTHETIC,Muito bom para screening,68.sdf,sdfs/69.sdf
